Month,Pharma1,Pharma2,Aluminum,FMCG,Housing,Software1,Infrastructure,Automobile,Refineries,Bank,Power,Steel,Software2
Aug-09,271.5,794.65,105.85,259.85,494.93,1066.15,1045.07,430.02,1002.05,174.31,126.3,424.3,330.45
Sep-09,279.75,988.1,128.85,262.85,555.36,1154.2,1122.13,440.6,1100.6,219.57,127.33,510.35,361.05
Oct-09,287.75,1009.15,121.95,282.95,531.35,1102.7,1044.77,460.98,965.63,219.1,129.62,471.6,364.59
Nov-09,320.15,1129.45,138.05,285.25,552.01,1191.97,1076.1,514.13,1062.8,223.82,130.18,575.4,377.34
Dec-09,335.6,1143.8,160.75,264.75,535.57,1302.63,1119.6,540.4,1089.4,226.94,132.97,617.6,407.64
Jan-10,317.3,1125.25,147.25,244.1,476.48,1238.35,950.03,509.7,1046.55,205.8,126.01,569,388.44
Feb-10,315.3,1142.7,161.25,235.75,500,1300.8,1044.57,503.68,978,197.59,117.05,573.65,406.02
Mar-10,337.1,1276.8,181.7,238.7,542.57,1307.55,1084.23,545.2,1074.65,207.9,132.46,632.65,424.08
Apr-10,342.55,1262.2,177.9,239,564.38,1368.08,1072.23,526.1,1032.5,229.79,130.75,618.8,404.1
May-10,318.95,1403.1,150.1,236.75,557.54,1328.83,1085.73,572.45,1045.05,226.84,123.65,500.6,401.01
Jun-10,337.75,1452.2,144.5,266.9,588.2,1394.28,1203.03,625.25,1086.9,230.21,125.99,485.6,384.75
Jul-10,326.6,1352.6,160.3,251.1,596.25,1394.43,1198.07,661.5,1009.6,250.38,127.36,537.15,411.35
Aug-10,303.35,1362.45,166.4,264.4,625.15,1353.55,1208.3,626.4,918.85,276.49,118.16,522.4,399.8
Sep-10,321.65,1440.3,196.75,308,730,1520.5,1363.13,693.3,986.35,323.32,130.69,651.7,448.35
Oct-10,352.25,1658,210.5,294.1,687.25,1484.8,1347.9,731.85,1095.8,315.12,134.58,590,419.6
Nov-10,343.7,1785.3,206.05,298.9,688.55,1524.72,1299.9,766.3,986.8,299.41,124.52,584.2,420.2
Dec-10,369.9,1662.55,246,312.3,727.95,1722.5,1319.37,777.55,1058.25,281.11,131.79,678.95,490.25
Jan-11,332.25,1624.45,229.4,271.15,629.75,1558.15,1094.1,712.05,919.25,264.11,119.78,637.75,438.45
Feb-11,299.7,1547.05,200.8,282.1,629.5,1501.53,1018.7,614.1,964.95,263.2,111.43,605.95,438.4
Mar-11,321.05,1638.55,208.65,284.6,698.9,1618.38,1102.17,698.6,1047.8,276.79,128.38,620.5,478.3
Apr-11,308.85,1662.35,215.55,285.2,705.45,1452.97,1065.27,753.8,981.95,280.56,125.75,614.75,450.25
May-11,326.1,1616.25,197.1,304.85,682.55,1395.93,1096,672.15,951.75,229.78,118.95,589.1,446.65
Jun-11,330.35,1533.4,181,342.75,703.85,1453.7,1215.1,701.3,897.6,240.6,125.8,608.7,417.6
Jul-11,307.85,1587.5,168.4,323.95,688.5,1383.4,1150.63,718.25,827.7,234.2,124.05,565.1,389.95
Aug-11,280,1493.85,150.35,320.9,662.9,1171.4,1073.2,737.55,781.5,197.45,100.68,468.55,335.05
Sep-11,282.7,1480.8,131.3,340.25,639.25,1266.9,905.47,802.55,808.3,191.11,96.21,415.25,340.7
Oct-11,294.55,1671.4,136.35,375.25,687.3,1437.6,942.17,863.2,877.75,190.67,96.65,482.95,366.45
Nov-11,327.95,1574.7,122.65,396.1,641,1303.78,845.87,723.85,778.8,176.29,88.44,384.9,378.15
Dec-11,319.55,1577.95,115.75,407.8,649.45,1382.53,663.4,683.05,692.9,161.95,84.2,335.25,398.8
Jan-12,349.15,1687.85,146.65,379.35,696.75,1371.68,873.73,672.85,815.45,206.11,100.22,451,413.25
Feb-12,316.8,1638.65,148.65,380.2,663.15,1437.7,872.07,707.65,818.65,224.34,110.83,471.75,431.75
Mar-12,304.55,1758.65,129.45,409.9,673.6,1432.47,871.23,696.9,748.25,209.5,97.32,470.4,439
Apr-12,311.85,1760,120.6,416.35,673.85,1231.3,817.53,710.15,745.2,213.79,101.81,463.65,405.1
May-12,309.65,1690.75,116.7,426.7,655.25,1219.93,781.53,651.7,706,205.56,90.28,402.85,409.55
Jun-12,316.4,1649.25,119.9,454.35,654.45,1251.28,931.57,706.9,737.45,215.92,101.04,441.3,399.3
Jul-12,338.55,1614.45,119.9,466.95,690.65,1113.7,913.1,700.45,742.85,200.52,94.62,413.6,339.9
Aug-12,378.15,1685.2,103.75,518.25,733.35,1186.63,894.27,765.15,771.95,184.5,96.12,362.5,367.6
Sep-12,380.6,1647.4,120.5,544.55,772.9,1267,1064.5,864.5,836.7,223.79,103.21,400.75,381.3
Oct-12,363.5,1756.9,116.45,547.45,759.6,1181.75,1083.17,884.25,805.25,210.96,102.24,392.25,350.8
Nov-12,414,1822.9,116.35,538.35,841.45,1218.3,1111.4,944.85,793.9,217.01,103.79,385.4,392.95
Dec-12,414.1,1828.5,130.6,524.7,828.1,1159.25,1070.57,930,839.1,238.38,106.49,428.3,394.35
Jan-13,407.2,1918.25,115.75,472.95,786.65,1394.38,1028.6,890.25,886.55,243.66,97.66,404.8,411.2
Feb-13,360.75,1760.5,99.35,443.9,760.4,1453,910.53,871.05,814.65,208.54,91.29,342.35,416.5
Mar-13,379.75,1766.3,91.5,466.1,825.75,1444.95,909.93,861.15,773.7,207.28,93.03,312.3,437.15
Apr-13,405.95,2023.75,97.25,583.6,847.2,1117.22,1008.4,923,788.15,226.42,91.48,302.85,347.9
May-13,370.45,2092.6,102.25,592.5,890.25,1203.8,934.4,965.3,805.6,204.77,86.13,291.8,326.55
Jun-13,391.45,2215.4,99.75,585.05,872.9,1246.63,936.1,966.55,861.85,195.36,83.04,273.8,349.8
Jul-13,400.95,2282.55,90.15,613.45,799.5,1483.58,846.45,912.15,871.6,170.99,84.87,215.7,437.3
Aug-13,416.95,2293.25,104.9,628.55,717.95,1550.15,722.25,781,851.55,151.44,73.15,274.25,483.9
Sep-13,432,2383.65,111.95,627.4,763.55,1507.72,788.6,827.8,822.35,161.53,78.26,271.6,474.05
Oct-13,413.95,2455.95,115,609.25,852.7,1654.33,972.55,888.35,912.35,179.55,79.18,334.4,476.95
Nov-13,391.1,2484.85,122.7,594.45,824.45,1676.75,1043.35,945.6,853.1,182.15,76.72,400.85,470.95
Dec-13,400.55,2533.05,122.5,570.95,796.3,1742.75,1069.9,943.5,894.8,176.55,88.15,423.45,559.05
Jan-14,410.65,2607,109.55,570.35,808,1849.72,985.4,890.45,830.85,152.56,71.36,356.15,574.95
Feb-14,384.35,2901.55,105.1,548.8,818.35,1910.1,1108.3,973.45,799.25,153.17,76.09,344.05,596.75
Mar-14,383.7,2560.8,141.7,603.65,883.8,1639.43,1272.65,980.65,929.5,191.83,84.8,393.85,542.6
Apr-14,398,2705.3,134.7,566.9,897.55,1588.6,1295.55,1072.15,935.3,207.89,78.05,400.6,522
May-14,384.15,2448.1,147.7,600.95,876.6,1470.75,1548.9,1230.5,1065.15,254.19,103.85,475,505
Jun-14,437.95,2615.15,164.1,619.5,990.65,1623.22,1701.6,1147.9,1014.7,268.59,107.75,528.3,544.95
Jul-14,456.3,2807.4,191.6,685.5,1067.35,1682.85,1504.1,1203.9,1006,243.98,97.95,553.4,543.65
