Date,Pharma,FMCG,Power,Steel
31-Mar-97,46.19,93.88,11.82,94.27
1-Apr-97,47.06,95.35,12.04,95.3
2-Apr-97,49.69,99.95,12.69,98.1
3-Apr-97,49.94,100.63,12.91,97.81
4-Apr-97,50.25,101.2,12.79,96.48
7-Apr-97,50.63,104.58,12.42,95.16
9-Apr-97,53.88,106.25,13.37,99.43
10-Apr-97,52.25,104.68,12.96,97.07
11-Apr-97,52.13,105.05,12.91,97.81
12-Apr-97,51.69,104.08,12.86,96.19
15-Apr-97,52.13,104.83,12.76,97.51
17-Apr-97,53.75,105.4,12.38,100.02
21-Apr-97,55,106.3,12.83,104.88
22-Apr-97,55.25,106.9,13,103.85
23-Apr-97,56.63,106.83,13.08,109
24-Apr-97,56.31,107.85,13,107.24
25-Apr-97,57,109.35,13.12,106.94
28-Apr-97,57,109.08,13.37,107.97
29-Apr-97,56.69,108.58,13.22,106.65
30-Apr-97,56.56,109.3,13.46,107.53
2-May-97,56,108.4,13.51,105.62
5-May-97,53.94,107.28,13.41,104.44
6-May-97,53.06,107.9,13.37,105.32
7-May-97,53.69,106.43,12.93,104.88
9-May-97,54.94,110,12.86,103.99
12-May-97,53.88,111.8,12.69,102.23
13-May-97,53.31,106.98,12.76,101.93
14-May-97,55.63,107.23,12.93,102.82
15-May-97,56.94,105.68,12.88,101.93
16-May-97,57.5,107,13.12,103.99
19-May-97,52.31,105.9,13.15,105.76
20-May-97,52.75,106.55,13.08,105.32
21-May-97,52.31,106.3,12.74,105.03
22-May-97,53.56,105.53,12.79,104.73
23-May-97,52.94,104.63,12.67,102.23
26-May-97,52.56,103.53,12.67,99.43
27-May-97,53.13,103.7,12.69,98.84
28-May-97,53,106.08,12.74,98.4
29-May-97,52.75,109,12.71,99.58
30-May-97,53.19,111.48,12.93,101.79
2-Jun-97,54.69,114.48,13.03,102.67
3-Jun-97,56.44,121.25,12.98,102.96
4-Jun-97,56.13,123.98,12.91,102.37
5-Jun-97,56.19,123.8,12.86,102.52
6-Jun-97,56.19,123.55,12.67,101.2
9-Jun-97,56,121.43,12.67,100.16
10-Jun-97,56,122.08,13.08,100.46
11-Jun-97,57.06,124.6,13.9,103.85
12-Jun-97,57.5,128.7,13.73,104.73
13-Jun-97,57.44,130.03,13.73,107.53
16-Jun-97,57.19,133.58,13.63,106.65
17-Jun-97,60.94,138.55,14.09,110.77
18-Jun-97,63.25,137.33,14.02,114.16
19-Jun-97,63.75,136.33,13.97,115.48
20-Jun-97,63.19,132.13,13.87,113.72
23-Jun-97,62.31,129.72,13.8,113.27
24-Jun-97,63.94,130.93,13.8,112.69
25-Jun-97,63.81,135.38,13.65,110.77
26-Jun-97,63,137.08,13.32,109.44
27-Jun-97,62.06,138.43,12.88,107.53
30-Jun-97,62.44,143.95,12.93,112.69
1-Jul-97,61,145.18,13.37,120.49
2-Jul-97,61.25,141.95,13.22,124.62
3-Jul-97,63.56,139.53,13.03,128.45
4-Jul-97,69.81,137.18,13.12,128.89
7-Jul-97,73.25,136.38,13.17,126.09
